nom_estab,codigo_act,nom_act,alcaldia,lat,lon
ALBERGUE DE PROMOTORAS SOCIALES SANTA MARIA DE GUADALUPE IMSS,624222,Refugios temporales comunitarios del sector pÃºblico,CuauhtÃ©moc,19.41222344,-99.14974407
ALBERGUE IMSS,624222,Refugios temporales comunitarios del sector pÃºblico,CuauhtÃ©moc,19.41222344,-99.14974407
CASA DE EMERGENCIA DE ATENCION A MUJERES VICTIMAS DE VIOLNCIA,624222,Refugios temporales comunitarios del sector pÃºblico,Cuajimalpa de Morelos,19.35419084,-99.30553454
CENTRO DE ASISTENCIA E INTEGRACION SOCIAL PLAZA DEL ESTUDIANTE,624222,Refugios temporales comunitarios del sector pÃºblico,Iztacalco,19.39919406,-99.13179813
CENTRO PARA EL BIENESTAR SOCIAL PARA LAS PERSONAS EN SITUACION DE CALLE,624222,Refugios temporales comunitarios del sector pÃºblico,Venustiano Carranza,19.43309827,-99.05140302
CENTRO SOCIAL JALALPA TURNO VESPERTINO,624222,Refugios temporales comunitarios del sector pÃºblico,Ãlvaro ObregÃ³n,19.37143224,-99.23965333
ESTANCIA DEL PEREGRINO,624222,Refugios temporales comunitarios del sector pÃºblico,Gustavo A. Madero,19.48330365,-99.11011786
HOGAR CDMX ESPACIOTECHO,624222,Refugios temporales comunitarios del sector pÃºblico,CuauhtÃ©moc,19.44091173,-99.15421291
INPI ALBERGUE INDIGENA LA CAS DE LOS MIL COLORES,624222,Refugios temporales comunitarios del sector pÃºblico,CuauhtÃ©moc,19.41079867,-99.13611668
SALON DE USOS MULTIPLES CE-COALLI-OTLI,624222,Refugios temporales comunitarios del sector pÃºblico,Iztapalapa,19.2921814,-99.0724422
SECRETARIA DE INCLUSION Y BIENESTAR SOCIAL,624222,Refugios temporales comunitarios del sector pÃºblico,Iztacalco,19.39162353,-99.11914803
UNIDAD DE ATENCION Y PREVENCION DE LA VIOLENCIA FAMILIAR,624222,Refugios temporales comunitarios del sector pÃºblico,Cuajimalpa de Morelos,19.35699569,-99.29453567
UNION DE COLONIAS Y BARRIOS DE LA CIUDAD DE MEXICO,624222,Refugios temporales comunitarios del sector pÃºblico,Venustiano Carranza,19.44319131,-99.11767567
