nom_estab,codigo_act,nom_act,alcaldia,lat,lon
ALBERGUE CASA MADRE TERESA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.4895589,-99.1165527
BIENESTAR SOCIAL GRUPO CEDRO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,CuauhtÃ©moc,19.44357115,-99.16360365
CARITAS MEXICANA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Benito JuÃ¡rez,19.38347422,-99.18246308
CARITAS QUIDIOCESIS DE MEXICO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Miguel Hidalgo,19.43499561,-99.17647191
CASA SALESIANA DE LOS EXALUMNOS DE DON BOSCO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Benito JuÃ¡rez,19.38655826,-99.13954608
CENTRO COMUNITARIO SAN VICENTE IAP,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Tlalpan,19.29822238,-99.22613135
CENTRO CONSTITUCION DE 1917 ALBERGUE PARA INMIGRANTES SIN NOMBRE,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.34717591,-99.06400627
CENTRO DE EVANGELIZACION PADRE JOSEPH LANGFORD MC,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.48644084,-99.11938384
COMEDOR COMINITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.55615903,-99.14022152
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.33748475,-99.04377977
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,La Magdalena Contreras,19.27242784,-99.24635176
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.32810851,-99.02750106
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Tlalpan,19.24617755,-99.14338299
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,TlÃ¡huac,19.23515371,-99.00273652
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Ãlvaro ObregÃ³n,19.38746366,-99.19666364
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Ãlvaro ObregÃ³n,19.34523247,-99.21033662
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Milpa Alta,19.20372242,-99.04771982
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Azcapotzalco,19.50125538,-99.18990725
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,CoyoacÃ¡n,19.35345085,-99.1497525
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,CoyoacÃ¡n,19.32593868,-99.16488312
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.34395856,-99.10865798
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.54827044,-99.12213904
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.54718063,-99.14133029
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.45601444,-99.10434458
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,CuauhtÃ©moc,19.45515727,-99.16026058
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Tlalpan,19.13661209,-99.17343762
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Miguel Hidalgo,19.44494201,-99.18508311
COMEDOR COMUNITARIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Venustiano Carranza,19.40819502,-99.11218854
COMEDOR COMUNITARIO 139 TLATUANI,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.33753707,-99.01019944
COMEDOR COMUNITARIO 285 SAN ANTONIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.33971059,-99.10953863
COMEDOR COMUNITARIO 416,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Cuajimalpa de Morelos,19.33149172,-99.32551499
COMEDOR COMUNITARIO 530 LA NOPALERA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,TlÃ¡huac,19.30021047,-99.05214009
COMEDOR COMUNITARIO 662,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,CoyoacÃ¡n,19.33241109,-99.14976357
COMEDOR COMUNITARIO 689,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.49171377,-99.0712323
COMEDOR COMUNITARIO AMISTAD,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Xochimilco,19.25174609,-99.03924925
COMEDOR COMUNITARIO AVE FENIX,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Tlalpan,19.27179665,-99.15465392
COMEDOR COMUNITARIO BONANZA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Ãlvaro ObregÃ³n,19.38644959,-99.2163712
COMEDOR COMUNITARIO BUENAVISTA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.33009573,-99.03235382
COMEDOR COMUNITARIO CASA DE LA MUJER,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Ãlvaro ObregÃ³n,19.38479807,-99.22821299
COMEDOR COMUNITARIO CCB577 MI ANGEL,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Xochimilco,19.2503374,-99.04923033
COMEDOR COMUNITARIO CCS7,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Xochimilco,19.2551674,-99.07457485
COMEDOR COMUNITARIO COCINA DOÃA BERTHA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Ãlvaro ObregÃ³n,19.31838834,-99.26762211
COMEDOR COMUNITARIO CULHUACAN,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.33730286,-99.10786818
COMEDOR COMUNITARIO DEL BIENESTAR,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Xochimilco,19.23727634,-99.10554862
COMEDOR COMUNITARIO DEL D.F. 248,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Iztapalapa,19.32294171,-99.02742908
COMEDOR COMUNITARIO EL ENCANTO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Milpa Alta,19.18848325,-99.03122488
COMEDOR COMUNITARIO EL REFUGIO,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,TlÃ¡huac,19.30117155,-99.06138017
COMEDOR COMUNITARIO EL SASON DE MAGALY,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,La Magdalena Contreras,19.30131368,-99.25543304
COMEDOR COMUNITARIO EL SAZON DE ELENA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Benito JuÃ¡rez,19.37756292,-99.13794004
COMEDOR COMUNITARIO EL SAZON DE MAMA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Miguel Hidalgo,19.45406612,-99.19325231
COMEDOR COMUNITARIO HERRANTE,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,TlÃ¡huac,19.31000686,-99.04128761
COMEDOR COMUNITARIO IAN,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,CoyoacÃ¡n,19.34161288,-99.16671149
COMEDOR COMUNITARIO LA CASA DE LUPIT,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Tlalpan,19.21066511,-99.16898599
COMEDOR COMUNITARIO LA ESPERANZA,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Gustavo A. Madero,19.51805398,-99.12810773
COMEDOR COMUNITARIO LA LUZ,624211,Servicios de alimentaciÃ³n comunitarios prestados por el sector privado,Milpa Alta,19.18759313,-99.02603438
