nom_estab,codigo_act,nom_act,alcaldia,lat,lon
ADIVAC ATENCION A PERSONAS VIOLADAS,624221,Refugios temporales comunitarios del sector privado,CuauhtÃ©moc,19.44905361,-99.15921366
ALAS DE MARIPOSAS,624221,Refugios temporales comunitarios del sector privado,CoyoacÃ¡n,19.33336883,-99.13534916
BODEGA DE MINISTERIO DE AMOR,624221,Refugios temporales comunitarios del sector privado,Iztapalapa,19.37190723,-99.13068153
CAFEMIN CASA DE ACOGIDA FORMACION Y EMPODERAMIENTO DE LA MUJER DE LA MUJER MIGRANTE Y REFUGIADA,624221,Refugios temporales comunitarios del sector privado,Gustavo A. Madero,19.46381991,-99.13020164
CARITAS ARQUIDIOCESIS DE MEXICO IAP,624221,Refugios temporales comunitarios del sector privado,Gustavo A. Madero,19.46728718,-99.08139213
CASA DEL PEREGRINO SAN LORENZO,624221,Refugios temporales comunitarios del sector privado,Gustavo A. Madero,19.48634296,-99.11897532
CENTRO COMUNITARIO JARDIN AZPEITA,624221,Refugios temporales comunitarios del sector privado,Azcapotzalco,19.47352263,-99.17480316
CENTRO DE FORMACION FAMILIAR MARIA DOLORES LEAL,624221,Refugios temporales comunitarios del sector privado,Miguel Hidalgo,19.43499558,-99.17647186
FUNDACION FRATERNIDAD SIN FRONTERAS,624221,Refugios temporales comunitarios del sector privado,CoyoacÃ¡n,19.30250869,-99.10074763
FUNDACION PRO NINOS DE LA CALLE,624221,Refugios temporales comunitarios del sector privado,CuauhtÃ©moc,19.4404477,-99.16558765
VIFAC,624221,Refugios temporales comunitarios del sector privado,Ãlvaro ObregÃ³n,19.35337353,-99.19137199
