nom_estab,codigo_act,nom_act,alcaldia,lat,lon
ALBERGUE BALSAMO DE AMOR,623991,Orfanatos y otras residencias de asistencia social del sector privado,Iztapalapa,19.34980498,-99.06336765
ALBERGUE GUADALUPANO IAP,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.41129591,-99.16295437
ALBERGUE INFANTIL INES MARIA GASCA,623991,Orfanatos y otras residencias de asistencia social del sector privado,Miguel Hidalgo,19.40996995,-99.18713405
ALBERGUE RAMON ARBIDE,623991,Orfanatos y otras residencias de asistencia social del sector privado,Miguel Hidalgo,19.40048723,-99.18883282
ALBERGUE SAN SEBASTIAN,623991,Orfanatos y otras residencias de asistencia social del sector privado,Benito JuÃ¡rez,19.3802254,-99.14303122
ALDEAS INFANTILES SOS MEXICO,623991,Orfanatos y otras residencias de asistencia social del sector privado,Gustavo A. Madero,19.49129141,-99.11609907
ARBOL DE LA VIDA ENFERMOS EN SUPERACION,623991,Orfanatos y otras residencias de asistencia social del sector privado,Azcapotzalco,19.46536841,-99.18465951
ASILO PRIMAVERA,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.40628492,-99.17735919
ASOCIACION VOLUNTARIADO DE PADRES UNIDOS,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.40717571,-99.15702558
AYUDA Y SOLIDARIDAD CON LAS NIÃAS DE LA CALLE,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.46306115,-99.1465556
BEYOUD SALONES,623991,Orfanatos y otras residencias de asistencia social del sector privado,Ãlvaro ObregÃ³n,19.3614362,-99.19958389
CARITAS EMERGENCIAS,623991,Orfanatos y otras residencias de asistencia social del sector privado,Miguel Hidalgo,19.43499558,-99.17647186
CASA CUNA LA PAZ,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.41772204,-99.17734616
CASA CUNA OASIS DEL NIÃO,623991,Orfanatos y otras residencias de asistencia social del sector privado,Tlalpan,19.28134908,-99.17808047
CASA DE LAS MERCEDES IAP,623991,Orfanatos y otras residencias de asistencia social del sector privado,Venustiano Carranza,19.44079295,-99.12283768
CASA DE LOS AMIGOS,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.43797654,-99.15415904
CASA DE REPOSO PARA UNA VEJES SEGURA,623991,Orfanatos y otras residencias de asistencia social del sector privado,CoyoacÃ¡n,19.34550446,-99.1326596
CASA DEL BIENESTAR,623991,Orfanatos y otras residencias de asistencia social del sector privado,Azcapotzalco,19.48570778,-99.20038753
CASA HOGAR,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.4428322,-99.13160245
CASA HOGAR AMPARO,623991,Orfanatos y otras residencias de asistencia social del sector privado,CoyoacÃ¡n,19.35639484,-99.16281402
CASA HOGAR CENTRO ITARI,623991,Orfanatos y otras residencias de asistencia social del sector privado,Xochimilco,19.25692679,-99.10222179
CASA HOGAR DE LAS NIÃAS DE TLAHUAC,623991,Orfanatos y otras residencias de asistencia social del sector privado,TlÃ¡huac,19.29276368,-99.061583
CASA HOGAR DE NUESTRA SEÃORA DE LA PAZ,623991,Orfanatos y otras residencias de asistencia social del sector privado,Gustavo A. Madero,19.48174227,-99.11963792
CASA HOGAR EUGENIO OLAEZ,623991,Orfanatos y otras residencias de asistencia social del sector privado,Iztapalapa,19.36324009,-99.10725775
CASA HOGAR LAS NIEVES,623991,Orfanatos y otras residencias de asistencia social del sector privado,Tlalpan,19.2966553,-99.16275564
CASA HOGAR MARGARITA,623991,Orfanatos y otras residencias de asistencia social del sector privado,Ãlvaro ObregÃ³n,19.37161252,-99.19731089
CASA HOGAR MONTE HALAC,623991,Orfanatos y otras residencias de asistencia social del sector privado,TlÃ¡huac,19.28891959,-99.03734335
CASA HOGAR NUESTRA SEÃORA DE GUADALUPE,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.44270571,-99.13769957
CASA HOGAR PARA MADRES SOLTERAS,623991,Orfanatos y otras residencias de asistencia social del sector privado,Tlalpan,19.29399605,-99.16347901
CASA HOGAR PARA NIÃAS INVIDENTES,623991,Orfanatos y otras residencias de asistencia social del sector privado,Benito JuÃ¡rez,19.38557032,-99.16757724
CASA HOGAR ROSAS DE LA INFANCIA,623991,Orfanatos y otras residencias de asistencia social del sector privado,Gustavo A. Madero,19.47831105,-99.11589999
CASA HOGAR SANTA INES,623991,Orfanatos y otras residencias de asistencia social del sector privado,CoyoacÃ¡n,19.34876097,-99.15400794
CASA NACIONAL DEL ESTUDIANTE,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.44014176,-99.12838257
CASA PAS,623991,Orfanatos y otras residencias de asistencia social del sector privado,Benito JuÃ¡rez,19.38593829,-99.15633587
CASA XOCHIQUETZAL,623991,Orfanatos y otras residencias de asistencia social del sector privado,CuauhtÃ©moc,19.43933325,-99.12725936
CENTRO DE ATENCION AL NIÃO Y FAMILIA REHABILITACION INTEGRAL,623991,Orfanatos y otras residencias de asistencia social del sector privado,Ãlvaro ObregÃ³n,19.34876709,-99.18037805
CENTRO EL RECOBRO,623991,Orfanatos y otras residencias de asistencia social del sector privado,CoyoacÃ¡n,19.35025163,-99.14941526
CENTRO FLAYMA,623991,Orfanatos y otras residencias de asistencia social del sector privado,Azcapotzalco,19.48285139,-99.18125944
CENTRO SANTA LUISA,623991,Orfanatos y otras residencias de asistencia social del sector privado,CoyoacÃ¡n,19.34754914,-99.17562441
CLINICA DE SALUD MENTAL,623991,Orfanatos y otras residencias de asistencia social del sector privado,Venustiano Carranza,19.44304464,-99.11840684
CUERPO NO 1,623991,Orfanatos y otras residencias de asistencia social del sector privado,Venustiano Carranza,19.44272617,-99.11837435
CUERPO NO 3,623991,Orfanatos y otras residencias de asistencia social del sector privado,Gustavo A. Madero,19.4603022,-99.11007446
EJERCITO DE SALVACION,623991,Orfanatos y otras residencias de asistencia social del sector privado,Gustavo A. Madero,19.46021528,-99.11009004
EJERCITO DE SALVACION,623991,Orfanatos y otras residencias de asistencia social del sector privado,Miguel Hidalgo,19.40385094,-99.19843079
EJERCITO DE SALVACION,623991,Orfanatos y otras residencias de asistencia social del sector privado,Benito JuÃ¡rez,19.38219563,-99.15459068
EJERCITO DE SALVACION ALBERGUE LA ESPERANZA,623991,Orfanatos y otras residencias de asistencia social del sector privado,Venustiano Carranza,19.44273678,-99.11837543
EJERCITO DE SALVACION INTERNACIONAL,623991,Orfanatos y otras residencias de asistencia social del sector privado,Miguel Hidalgo,19.40354307,-99.19839812
EJERCITO DE SALVACION INTERNACIONAL,623991,Orfanatos y otras residencias de asistencia social del sector privado,Benito JuÃ¡rez,19.38219323,-99.15457848
EJERCITO DE SALVACION INTERNACIONAL,623991,Orfanatos y otras residencias de asistencia social del sector privado,Gustavo A. Madero,19.4992035,-99.09547208
EL SOL DE LA CASA DEL PAN,623991,Orfanatos y otras residencias de asistencia social del sector privado,Gustavo A. Madero,19.48846764,-99.1162484
ESCUELA DE CADETES,623991,Orfanatos y otras residencias de asistencia social del sector privado,Benito JuÃ¡rez,19.37927206,-99.15226251
FLORECER CASA HOGAR,623991,Orfanatos y otras residencias de asistencia social del sector privado,Ãlvaro ObregÃ³n,19.37786403,-99.196734
