nom_estab,codigo_act,nombre_act,alcaldia,latitud,longitud,sector_v1
PILARES SAN MIGUEL TEOTONGO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.34055383,-98.99300592,público
PILARES SAN NICOLAS II,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tlalpan,19.26734499,-99.2379397,público
PILARES SAN PEDRO ATOCPAN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Milpa Alta,19.20264665,-99.05215416,público
PILARES SANTA ANA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Coyoacán,19.32848489,-99.11407214,público
PILARES SANTA ANITA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztacalco,19.40428111,-99.12146243,público
PILARES SANTA CATARINA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tláhuac,19.31918907,-98.96217864,público
PILARES SANTA CECILIA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Xochimilco,19.21580364,-99.09939439,público
PILARES SANTA CRUZ XOCHITEPEC,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Xochimilco,19.25833798,-99.13061574,público
PILARES SANTA FE,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38272545,-99.2405453,público
PILARES SANTA LUCIA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.36864863,-99.22290303,público
PILARES SANTA MARIA TOMATLAN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.32218721,-99.10006778,público
PILARES SANTA ROSA XOCHIAC,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.3259232,-99.28219374,público
PILARES SANTIAGO TEPALCATLALPAN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Xochimilco,19.2483116,-99.12803754,público
PILARES SEPI,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Cuauhtémoc,19.42571651,-99.1413407,público
PILARES TACUBAYA NAHUIBLLIN,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.3963075,-99.18753308,público
PILARES TAXQUEÑA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Coyoacán,19.34206875,-99.14352315,público
PILARES TEPANTONGO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Azcapotzalco,19.48957965,-99.18598259,público
PILARES TEPEXIMILPA 246_SP_TLP,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Tlalpan,19.27287568,-99.19060285,público
PILARES TEPITO -MORELOS,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Venustiano Carranza,19.4470108,-99.12548558,público
PILARES TETECON,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.32241422,-99.02905262,público
