stop_id,stop_name,grupo_stop_id
010C1151-RFMFRESNO,Ricardo Flores Magón - Fresno,72
010C1150-RFMLAUREL,Ricardo Flores Magón - Laurel,72
010C1150-RFMFRESNO,Ricardo Flores Magón - Fresno,73
010C1151-RFMCEDRO,Ricardo Flores Magón - Cedro,74
010C1150-RFMCEDRO,Ricardo Flores Magón - Cedro,74
010C1150-RFMNOGAL,Ricardo Flores Magón - Nogal,75
010C1150-MAESGALLOS,Av. de los Maestros - Calz. de los Gallos,76
010C1151-GAONAMILITAR,Rodolfo Gaona - Av. Ingenieros Militares,77
010C1151-SOTELORNO102,Lomas de Sotelo - Retorno 102,78
010C1151-SOTELOJOAQ,Lomas de Sotelo - Av. Río San Joaquín,79
010C1151-JOAQMOLIERE,Av. Río San Joaquin - Moliere,80
010C1151-JOAQ,Av. Río San Joaquin - Lago Erne,81
010C1151-HIELMARJOAQ,Lago Hielmar - Av. Río San Joaquin,82
010C1151-HIELMARGINEB,Lago Hielmar - Lago Ginebra,83
010C1151-CHIEMLGNAUR,Lago Chiem - Lago Naur,84
010C1100-FCPLGOCHIEM,Felipe Carrillo Puerto - Lago Chiem,85
010C1151-FCPLAGOCHIEM,Felipe Carrillo Puerto - Lago Chiem,85
010C1100-FCPCJONLUZ,Felipe Carrillo Puerto - Callejón de la Luz,86
010C1151-FCPCJONLUZ,Felipe Carrillo Puerto - Callejón de la Luz,86
010C1151-FCPSNJUANICO,Felipe Carrillo Puerto - San Juanico,87
010C1100-FCPJUANICO,Felipe Carrillo Puerto - Callejón San Juanico,87
010C1151-FCPESPIRIDIN,Felipe Carrillo Puerto - Lago Espiridino,88
010C1151-FCPCONSTANZ,Felipe Carrillo Puerto - Lago Constanza,89
010C1900-MNALFPECPTO,Marina Nacional - Felipe Carrillo Puerto,89
010C1100-FCPCONSTANZ,Felipe Carrillo Puerto - Lago Constanza,89
010C1151-RFMLERDO,Ricardo Flores Magón - Lerdo,90
010C1151-REFRFLORESM,Av. Paseo de la Reforma - Ricardo Flores Magón,91
0100Z170-MTRO18MARZ,Metro 18 de Marzo,92
0100Z170-PTO41,Punto 41,93
0100Z170-PTO42,Punto 42,94
0100Z170-PTO43,Punto 43,95
0100Z170-PTO44,Punto 44,96
0100Z170-PTO45,Punto 45,97
0100Z170-PTO46,Punto 46,98
0100Z170-PTO47,Punto 47,99
0100Z170-PTO48,Punto 48,100
0100Z170-PTO38,Punto 38,101
0100Z120-MAREJADA,Marejada,101
0100Z170-PTO36,Punto 36,102
0100Z120-ANDADOR23,Andador 23,102
0100Z170-PTO34,Punto 34,103
0100Z120-DESEMBOCA1,Desembocadura,103
0100Z170-PTO35,Punto 35,104
0100Z170-PTO22,Punto 22,105
0100Z170-PTO19,Punto 19,106
0100Z170-PTO21,Punto 21,107
0100Z170-PTO20,Punto 20,108
0100Z170-PTO32,Punto 32,109
0100Z170-PTO18,Punto 18,110
0100Z170-PTO17,Punto 17,111
0100Z170-PTO16,Punto 16,112
0100Z170-PTO31,Punto 31,113
0100Z170-CTOCEREMON,Circuito Ceremonial,114
0100Z170-PTO30,Punto 30,115
0100Z170-AVCAPRI,Av. Capri,116
0100Z170-PTO24,Punto 24,117
0100Z170-VATICANO2,Vaticano,118
0100Z170-VATICANO1,Vaticano,118
0100Z170-PTO23,Punto 23,119
0100Z170-PTO29,Punto 29,120
0100Z170-PTO27,Punto 27,121
0100Z170-PTO28,Punto 28,122
0100Z170-PTO26,Punto 26,123
0100Z170-STACECILIA,Santa Cecilia,124
0100Z170-IZCALLI,Izcalli,125
0100Z170-PTO10,Punto 10,126
0100Z170-TENAYO,Tenayo,127
0100Z120-MTROLARAZA,Metro La Raza,128
0100C710-EJCTRAMRAZA,Eje Central - Metro La Raza,128
0100Z150-LARAZA,La Raza,128
0100Z150-BUSESNTE,Autobuses del Norte,129
0100Z120-CTRALDELNTE,Central del Norte,129
0100Z150-INSTPETRO,Instituto del Petróleo,130
0100Z150-PTO18,Punto 18,131
0100Z150-PTO17,Punto 17,132
0100Z150-PTO19,Punto 19,133
0100Z150-PTO20,Punto 20,134
0100Z150-PTO21,Punto 21,135
0100Z150-PTO23,Punto 23,136
0100Z120-URANIO,Uranio,136
0100Z120-PUNTO63,Punto 63,137
0100Z150-PTO24,Punto 24,137
0100Z120-AVTICOMAN,Av. Ticomán,138
0100Z150-PTO25,Punto 25,138
0100Z150-PTO26,Punto 26,139
0100Z150-PTO27,Punto 27,140
0100Z150-PTO28,Punto 28,141
0100Z150-PTO29,Punto 29,142
0100Z150-PTO30,Punto 30,143
0100Z120-AVCIMA2,Av. Cima ,143
0100Z150-PTO31,Punto 31,144
0100Z120-DESEMBOCA2,Desembocadura ,144
0100Z150-PTO32,Punto 32,145
0100Z150-PTO33,Punto 33,146
0100Z150-PTO34,Punto 34,147
0100Z150-PUERTO,Puerto,148
0100Z150-PTO46,Punto 46,149
0100Z150-PTO47,Punto 47,150
0100Z150-PTO42,Punto 42,151
0100Z150-PTO41,Punto 41,152
0100Z150-PTO55,Punto 55,153
0100Z150-PTO54,Punto 54,154
0100Z150-PTO40,Punto 40,155
0100Z150-PTO39,Punto 39,156
0100Z150-PTO53,Punto 53,157
0100Z150-PTO52,Punto 52,158
0100Z150-EDOMEX,Estado de México,159
0100Z150-NAYARIT,Nayarit,160
0100Z150-PTO44,Punto 44,161
0100Z150-PTO43,Punto 43,162
0100Z150-CHIAPAS,Chiapas,163
0100Z150-TABASCO,Tabasco,164
0100Z150-PTO50,Punto 50,165
0100Z150-GPECHALMA,Guadalupe Chalma,166
0100Z150-PTO49,Punto 49,167
0100Z150-COLOSIO,Colosio,168
010C1800-MAVILACMAES,Blvd. Manuel Avila C. y de los Maestros,169
0100Z140-PTO119,Punto 119,169
0100Z140-PONCIANOARR,Ponciano Arriaga,170
0100Z140-PTO104,Punto 104,171
0100Z140-SNANDRES,San Andrés,172
0100Z140-PRINCIPAL,Principal,173
0100Z140-CALLEPINO,Calle Pino,174
0100Z140-AVGUSTBAZ,Av. Gustavo Baz,175
0100Z140-AVGVOBAZ,Av. Gustavo Baz,176
0100Z140-AVRIOLERMA,Av. Río Lerma,177
0100Z140-ROBERTOFULT,Roberto Fulton,178
0100Z140-AVHGO,Av. Hidalgo,179
0100Z140-PTO117,Punto 117,180
0100Z140-AYUNTAMIENTO,Ayuntamiento,181
0100Z140-PTO118,Punto 118,182
0100Z140-PTO115,Punto 115,183
0100Z140-ZUMPANGO,Zumpango,184
0100Z140-CUAUHTEMOC,Cuauhtémoc,185
0100Z140-POPOCATEPE,Popocatepetl,186
0100Z140-PTO109,Punto 109,187
0100Z140-MORELS,Morelos,188
0100Z140-MORELOS,Morelos,189
0100Z140-BERRIOZABAL,Berriozabal,190
0100Z140-VGUERRERO,Vicente Guerrero,191
0100Z140-IZTACCIHUATL,Iztaccihuatl,192
0100Z140-MARIOCOLIN,Mario Colin,193
0100Z140-DRAUGUSTO,Av. Doctor Augusto,194
0100Z140-DURANGO,Durango,195
0100Z140-AVSTAROSA,Av. Santa Rosa,196
01ITEC11-COVADONGA,Covadonga,196
01ITEC10-COVADONG,Covadonga,196
0100Z140-AVDROSALES,Av. de los Rosales,197
0100Z140-AVROSALES,Av. de los Rosales,198
0100Z140-SANJUAN,San Juan,199
01ITEC10-SANJUANIXTA,Camino a San Juan Ixtacala,199
0100Z140-BERILIO,Berilio,200
0100Z140-ALAMO,Alamo,201
0100Z140-TENAYUCA,Tenayuca,202
0100Z140-XOCHITL,Xóchitl,203
0100Z140-TEZOZOMOC,Tezozomoc,204
0100Z140-ACUETENAYUC,Acueducto - Tenayuca,205
0100Z140-AND17A,Andador 17-A,206
0100Z140-CALLNTE23A,Calle Norte 23A,207
0100Z140-NTE27,Norte 27,208
0100Z140-PTE134,Poniente 134,209
0100Z140-NTE35,Norte 35,210
0100Z140-MONTEVIDEO,Montevideo,211
0100Z140-PTE146,Poniente 146,212
0100Z140-POLIPARADERO,Paradero Politécnico,213
0100Z140-PTE156,Poniente 156,214
0100Z140-LAPATERA,La Patera,215
0100Z140-JUPITER,Júpiter,216
0100Z140-PINOSUAREZ,Pino Suárez,217
0100Z140-NAUECATEPEC,Naucalpan - Ecatepec,218
0100Z140-TRESENEGAS,Tres Enegas,219
